Ticker,Nome delle partecipazioni,% del valore di mercato,Settore,Regione,Valore di mercato,Azioni
,Air Liquide SA,"0,3654%",Specialty Chemicals,FR,"13.600.006,98 €",75.363
BARC,Barclays plc,"0,3648%",Banks,GB,"13.578.409,83 €",5.262.589
EXPN,Experian plc,"0,3646%",Professional Business Support Services,JE,"13.571.914,77 €",320.825
NG.,National Grid plc,"0,3615%",Multi-Utilities,GB,"13.456.501,57 €",1.300.289
DHL,DHL Group,"0,361%",Delivery Services,DE,"13.437.172,18 €",347.573
FERGl,Ferguson plc,"0,3595%",Industrial Suppliers,JE,"13.381.547,27 €",71.760
ADS,adidas AG,"0,3595%",Footwear,DE,"13.380.237,00 €",57.798
VOLV B,Volvo AB Class B,"0,3563%",Commercial Vehicles and Parts,SE,"13.261.750,25 €",536.935
NDA FI,Nordea Bank Abp,"0,3543%",Banks,FI,"13.187.364,30 €",1.167.540
RKT,Reckitt Benckiser Group plc,"0,3517%",Nondurable Household Products,GB,"13.093.030,97 €",250.760
SGO,Cie de Saint-Gobain SA,"0,3472%",Building Materials: Other,FR,"12.922.131,12 €",160.364
BN,Danone SA,"0,3459%",Food Products,FR,"12.876.513,36 €",217.803
LONN,Lonza Group AG,"0,3368%",Biotechnology,CH,"12.537.771,38 €",25.245
WKL,Wolters Kluwer NV,"0,3363%",Publishing,NL,"12.516.338,95 €",85.699
AAL,Anglo American plc,"0,3348%",General Mining,GB,"12.461.307,15 €",422.725
ADYEN,Adyen NV,"0,3282%",Transaction Processing Services,NL,"12.216.472,80 €",10.311
GIVN,Givaudan SA,"0,3231%",Specialty Chemicals,CH,"12.026.926,73 €",2.780
SREN,Swiss Re AG,"0,3179%",Reinsurance,CH,"11.834.416,32 €",101.049
DB1,Deutsche Boerse AG,"0,3158%",Investment Services,DE,"11.756.446,20 €",64.278
III,3i Group plc,"0,3006%",Asset Managers and Custodians,GB,"11.187.580,53 €",333.187
ENI,Eni SPA,"0,3003%",Integrated Oil and Gas,IT,"11.178.749,86 €",771.161
DBK,Deutsche Bank AG,"0,2913%",Banks,DE,"10.843.835,39 €",712.192
FLTR,Flutter Entertainment plc,"0,2898%",Casinos and Gambling,IE,"10.787.214,73 €",61.730
CAP,Capgemini SE,"0,2812%",Computer Services,FR,"10.468.396,80 €",56.403
ASM,ASM International NV,"0,2811%",Production Technology Equipment,NL,"10.464.709,20 €",16.346
G,Assicurazioni Generali SPA,"0,2754%",Full Line Insurance,IT,"10.250.471,20 €",434.342
AHT,Ashtead Group plc,"0,2739%",Commercial Vehicle-Equipment Leasing,GB,"10.196.449,39 €",152.849
AMS,Amadeus IT Group SA,"0,2734%",Computer Services,ES,"10.175.136,84 €",155.726
BMW,Bayerische Motoren Werke AG,"0,2713%",Automobiles,DE,"10.099.687,02 €",108.389
BAYN,Bayer AG,"0,2615%",Pharmaceuticals,DE,"9.733.960,88 €",344.687
RI,Pernod Ricard SA,"0,2612%",Distillers and Vintners,FR,"9.724.545,60 €",71.008
EOAN,E.On Se,"0,2556%",Multi-Utilities,DE,"9.515.612,36 €",774.887
PGHN,Partners Group Holding AG,"0,2553%",Asset Managers and Custodians,CH,"9.501.472,86 €",7.716
AD,Koninklijke Ahold Delhaize NV,"0,2541%",Food Retailers and Wholesalers,NL,"9.459.896,94 €",331.461
HLN,Haleon plc,"0,2503%",Pharmaceuticals,GB,"9.317.329,60 €",2.443.699
ASSA B,Assa Abloy AB Class B,"0,2455%",Building Materials: Other,SE,"9.138.075,07 €",339.628
VWS,Vestas Wind Systems A/S,"0,2447%",Renewable Energy Equipment,DK,"9.107.073,88 €",352.233
ML,Cie Generale des Etablissements Michelin SCA,"0,2445%",Tires,FR,"9.102.753,05 €",245.027
HEIA,Heineken NV,"0,2414%",Brewers,NL,"8.984.945,20 €",97.790
TSCO,Tesco plc,"0,238%",Food Retailers and Wholesalers,GB,"8.858.984,22 €",2.428.828
LR,Legrand SA,"0,2371%",Electrical Components,FR,"8.825.152,30 €",89.053
RWE,Rwe AG,"0,2335%",Multi-Utilities,DE,"8.693.067,76 €",249.514
DSY,Dassault Systemes SE,"0,2333%",Software,FR,"8.684.500,11 €",234.273
STMPA,STMicroelectronics NV,"0,2319%",Semiconductors,NL,"8.631.734,96 €",228.021
DSV,DSV A/S,"0,2311%",Transportation Services,DK,"8.600.488,92 €",60.863
PRU,Prudential plc,"0,2271%",Life Insurance,GB,"8.452.779,29 €",964.833
PUB,Publicis Groupe SA,"0,2211%",Media Agencies,FR,"8.229.551,20 €",80.054
ATCO B,Atlas Copco AB Class B,"0,2201%",Machinery: Construction and Handling,SE,"8.192.062,65 €",539.871
VOW3,Volkswagen AG Preference Shares,"0,2181%",Automobiles,DE,"8.118.655,00 €",70.597
EQNR,Equinor ASA,"0,2179%",Integrated Oil and Gas,NO,"8.111.785,84 €",305.360
RHM,Rheinmetall AG,"0,2154%",Defense,DE,"8.018.337,60 €",15.192
KER,Kering SA,"0,2145%",Clothing and Accessories,FR,"7.984.558,40 €",25.172
SSE,SSE plc,"0,2113%",Conventional Electricity,GB,"7.865.459,97 €",382.138
TEF,Telefonica SA,"0,2057%",Telecommunications Services,ES,"7.655.988,08 €",1.786.695
SAND,Sandvik AB,"0,2046%",Machinery: Tools,SE,"7.617.187,81 €",377.306
MRK,Merck KGaA,"0,2027%",Pharmaceuticals,DE,"7.543.782,00 €",45.308
UMG,Universal Music Group NV,"0,2013%",Radio and TV Broadcasters,NL,"7.492.247,00 €",262.150
HEXA B,Hexagon AB Class B,"0,2007%",Software,SE,"7.470.184,26 €",740.370
DTG,Daimler Truck Holding AG,"0,1972%",Commercial Vehicles and Parts,DE,"7.341.084,72 €",187.416
ORA,Orange SA,"0,1934%",Telecommunications Services,FR,"7.200.346,73 €",671.361
ARGX,Argenx SE,"0,1895%",Biotechnology,NL,"7.055.215,60 €",20.708
PHIA,Koninklijke Philips NV,"0,1893%",Medical Equipment,NL,"7.046.264,80 €",283.210
VNA,Vonovia SE,"0,189%",Real Estate Holding and Development,DE,"7.033.363,20 €",244.214
STAN,Standard Chartered plc,"0,1885%",Banks,GB,"7.015.306,31 €",769.441
GLE,Societe Generale SA,"0,1876%",Banks,FR,"6.982.094,46 €",254.914
NWG,NatWest Group plc,"0,1875%",Banks,GB,"6.978.745,11 €",1.889.035
CABK,CaixaBank SA,"0,1873%",Banks,ES,"6.973.685,60 €",1.323.280
IMB,Imperial Brands plc,"0,1871%",Tobacco,GB,"6.963.908,98 €",305.915
VOD,Vodafone Group plc,"0,1827%",Telecommunications Services,GB,"6.800.555,14 €",7.667.979
SWED A,Swedbank AB Class A,"0,1809%",Banks,SE,"6.733.542,06 €",352.499
VIE,Veolia Environnement SA,"0,1803%",Water,FR,"6.712.862,00 €",218.660
NSIS B,Novonesis (Novozymes) B,"0,18%",Biotechnology,DK,"6.699.405,08 €",122.295
FER,Ferrovial SE,"0,1793%",Engineering and Contracting Services,NL,"6.674.196,90 €",184.065
SLHN,Swiss Life Holding AG,"0,1778%",Life Insurance,CH,"6.617.907,80 €",10.324
CLNX,Cellnex Telecom SA,"0,1771%",Telecommunications Services,ES,"6.590.958,57 €",196.569
NOKIA,Nokia Oyj,"0,1766%",Telecommunications Equipment,FI,"6.574.787,04 €",1.830.907
UPM,UPM-Kymmene Oyj,"0,176%",Paper,FI,"6.550.272,80 €",186.352
DANSKE,Danske Bank A/S,"0,1757%",Banks,DK,"6.541.818,80 €",231.582
REP,Repsol SA,"0,1725%",Integrated Oil and Gas,ES,"6.420.299,00 €",427.450
DSFIR,DSM-Firmenich AG,"0,1721%",Food Products,CH,"6.405.876,45 €",60.633
DNB,DNB Bank ASA,"0,1712%",Banks,NO,"6.373.278,02 €",354.086
GEBN,Geberit AG,"0,1709%","Building, Roofing/Wallboard and Plumbing",CH,"6.362.306,99 €",11.321
EVO,Evolution AB,"0,1708%",Casinos and Gambling,SE,"6.356.629,93 €",64.341
EQT,EQT AB,"0,1654%",Asset Managers and Custodians,SE,"6.155.776,20 €",221.017
SAMPO,Sampo Oyj Class A,"0,1654%",Property and Casualty Insurance,FI,"6.155.637,44 €",156.076
LGEN,Legal & General Group plc,"0,164%",Life Insurance,GB,"6.103.229,27 €",2.081.579
GMAB,Genmab A/S,"0,1595%",Biotechnology,DK,"5.938.380,03 €",22.867
ERIC B,Telefonaktiebolaget LM Ericsson Class B,"0,1557%",Telecommunications Equipment,SE,"5.794.894,54 €",1.024.513
KBC,KBC Group NV,"0,1548%",Banks,BE,"5.761.794,22 €",86.177
PRY,Prysmian SPA,"0,154%",Electrical Components,IT,"5.730.589,56 €",95.478
HO,Thales SA,"0,1538%",Defense,FR,"5.725.594,05 €",34.357
CBK,Commerzbank AG,"0,152%",Banks,DE,"5.658.455,88 €",364.122
SEB A,Skandinaviska Enskilda Banken AB Class A,"0,1518%",Banks,SE,"5.649.607,86 €",432.479
UCB,Ucb SA,"0,1466%",Pharmaceuticals,BE,"5.455.789,20 €",42.408
AV.,Aviva plc,"0,1446%",Life Insurance,GB,"5.384.226,74 €",956.634
IHG,InterContinental Hotels Group plc,"0,1443%",Hotels and Motels,GB,"5.371.951,47 €",57.980
KNEBV,Kone Oyj Class B,"0,1443%",Machinery: Industrial,FI,"5.371.258,05 €",114.795
ACA,Credit Agricole SA,"0,141%",Banks,FR,"5.248.719,53 €",351.673
SHL,Siemens Healthineers AG,"0,1398%",Medical Equipment,DE,"5.202.574,94 €",97.463
SOON,Sonova Holding AG,"0,1387%",Medical Equipment,CH,"5.161.664,20 €",17.750
ESSITY B,Essity AB Class B,"0,1362%",Personal Products,SE,"5.070.884,52 €",214.830
ENGI,Engie SA,"0,136%",Multi-Utilities,FR,"5.063.322,55 €",325.930
SY1,Symrise AG Class A,"0,1351%",Chemicals: Diversified,DE,"5.028.569,10 €",45.986
BEI,Beiersdorf AG,"0,1349%",Personal Products,DE,"5.022.513,90 €",34.794
SGRO,Segro plc,"0,1347%",Industrial REITs,GB,"5.013.821,55 €",469.168
SDZ,Sandoz Group AG,"0,1329%",Pharmaceuticals,CH,"4.947.269,92 €",151.130
LOGN,Logitech International SA,"0,1315%",Computer Hardware,CH,"4.894.492,13 €",53.619
EBS,Erste Group Bank AG,"0,1302%",Banks,AT,"4.847.979,40 €",107.494
COLO B,Coloplast A/S Class B,"0,129%",Medical Supplies,DK,"4.802.724,29 €",43.432
HNR1,Hannover Rueck SE,"0,1286%",Reinsurance,DE,"4.788.320,60 €",20.983
HEN3,Henkel AG & Co. KGaA Preference Shares,"0,1278%",Household Equipment and Products,DE,"4.755.461,44 €",57.212
INF,Informa plc,"0,1274%",Media Agencies,GB,"4.743.835,35 €",477.100
ENR,Siemens Energy AG,"0,1262%",Renewable Energy Equipment,DE,"4.698.599,74 €",189.307
HEI,Heidelberg Materials AG,"0,1257%",Cement,DE,"4.677.740,68 €",48.869
NXT,Next plc,"0,1255%",Diversified Retailers,GB,"4.673.080,81 €",42.670
KRX,Kingspan Group plc,"0,1255%",Building Materials: Other,IE,"4.671.513,00 €",52.965
ALFA,Alfa Laval AB,"0,1237%",Electronic Equipment: Control and Filter,SE,"4.605.575,78 €",108.376
KNIN,Kuehne + Nagel International AG,"0,123%",Marine Transportation,CH,"4.578.199,18 €",17.549
SCMN,Swisscom AG,"0,1218%",Telecommunications Services,CH,"4.531.939,33 €",8.909
STMN,Straumann Holding AG,"0,1207%",Medical Supplies,CH,"4.494.596,30 €",37.623
VACN,VAT Group AG,"0,1201%",Electronic Equipment: Control and Filter,CH,"4.471.134,78 €",8.999
AENA,Aena SME SA,"0,1192%",Transportation Services,ES,"4.437.916,00 €",24.710
SHB A,Svenska Handelsbanken AB Class A,"0,119%",Banks,SE,"4.429.199,33 €",512.675
PNDORA,Pandora A/S,"0,1177%",Luxury Items,DK,"4.382.478,11 €",29.082
INVE A,Investor AB Class A,"0,1171%",Diversified Financial Services,SE,"4.359.867,62 €",176.395
SGSN,SGS SA,"0,1171%",Security Services,CH,"4.357.926,35 €",50.810
MONC,Moncler SPA,"0,1164%",Clothing and Accessories,IT,"4.330.954,04 €",70.721
RTO,Rentokil Initial plc,"0,1154%",Professional Business Support Services,GB,"4.297.306,58 €",884.412
SGE,Sage Group plc,"0,1154%",Software,GB,"4.295.327,45 €",358.184
MTX,MTU Aero Engines AG,"0,1143%",Aerospace,DE,"4.254.441,50 €",18.619
FRE,Fresenius SE & Co. KGaA,"0,1136%",Health Care Services,DE,"4.228.910,40 €",144.430
EPI A,Epiroc AB Class A,"0,1131%",Machinery: Construction and Handling,SE,"4.211.462,42 €",219.864
MT,ArcelorMittal SA,"0,113%",Iron and Steel,LU,"4.207.608,96 €",174.156
KRZ,Kerry Group plc Class A,"0,1127%",Food Products,IE,"4.193.342,20 €",53.899
PKO,Powszechna Kasa Oszczednosci Bank Polski SA,"0,1119%",Banks,PL,"4.163.984,40 €",299.813
NN,NN Group NV,"0,1118%",Life Insurance,NL,"4.161.199,13 €",97.247
SKGl,Smurfit Kappa Group plc,"0,1105%",Containers and Packaging,IE,"4.112.889,25 €",91.803
BNZL,Bunzl plc,"0,1092%",Diversified Industrials,GB,"4.062.961,93 €",117.994
CARL B,Carlsberg AS Class B,"0,1074%",Brewers,DK,"3.998.065,65 €",32.100
KPN,Koninklijke KPN NV,"0,1071%",Telecommunications Services,NL,"3.988.065,90 €",1.157.975
BAER,Julius Baer Group Ltd.,"0,1071%",Asset Managers and Custodians,CH,"3.984.930,23 €",72.166
EDP,EDP - Energias de Portugal SA,"0,106%",Alternative Electricity,PT,"3.946.804,77 €",1.057.841
BIRG,Bank of Ireland Group plc,"0,1055%",Banks,IE,"3.928.572,24 €",373.616
AKZA,Akzo Nobel NV,"0,1032%",Specialty Chemicals,NL,"3.841.152,18 €",59.887
LISN,Chocoladefabriken Lindt & Spruengli AG,"0,1029%",Food Products,CH,"3.831.018,37 €",35
TRN,Terna - Rete Elettrica Nazionale,"0,1024%",Conventional Electricity,IT,"3.810.420,90 €",493.450
,Engie SA,"0,1019%",Multi-Utilities,FR,"3.791.472,10 €",244.060
LISP,Chocoladefabriken Lindt & Spruengli AG,"0,1009%",Food Products,CH,"3.755.970,44 €",350
ORSTED,Orsted AS,"0,1003%",Alternative Electricity,DK,"3.733.792,19 €",66.483
EDEN,Edenred SE,"0,0998%",Transaction Processing Services,FR,"3.716.721,75 €",86.335
EXO,EXOR NV,"0,0981%",Diversified Financial Services,NL,"3.653.052,90 €",35.501
BESI,BE Semiconductor Industries NV,"0,0971%",Semiconductors,NL,"3.614.895,00 €",26.777
SAB,Banco de Sabadell SA,"0,0971%",Banks,ES,"3.613.092,61 €",1.863.860
SN.,Smith & Nephew plc,"0,0961%",Medical Equipment,GB,"3.577.418,89 €",307.987
RNO,Renault SA,"0,0954%",Automobiles,FR,"3.551.443,14 €",66.283
ABF,Associated British Foods plc,"0,0951%",Food Products,GB,"3.539.834,22 €",118.363
WPP,WPP plc,"0,0942%",Media Agencies,JE,"3.505.893,13 €",365.979
SRG,Snam SPA,"0,0938%",Pipelines,IT,"3.490.468,26 €",802.591
ACS,ACS Actividades de Construccion y Servicios SA,"0,0937%",Construction,ES,"3.489.566,56 €",84.863
AGN,Aegon Ltd.,"0,0937%",Life Insurance,BM,"3.487.481,51 €",586.723
HLMA,Halma plc,"0,0936%",Electronic Equipment: Gauges and Meters,GB,"3.485.296,34 €",133.502
HEIO,Heineken Holding NV,"0,0936%",Brewers,NL,"3.482.537,20 €",46.372
HM B,H & M Hennes & Mauritz AB Class B,"0,0929%",Apparel Retailers,SE,"3.456.809,31 €",212.651
ADM,Admiral Group plc,"0,0922%",Property and Casualty Insurance,GB,"3.433.279,16 €",107.863
SCHP,Schindler Holding AG,"0,0916%",Machinery: Industrial,CH,"3.410.593,11 €",14.299
LDO,Leonardo SPA,"0,0897%",Defense,IT,"3.338.454,80 €",141.640
BT.A,BT Group plc,"0,0895%",Telecommunications Services,GB,"3.332.227,41 €",2.175.528
MRO,Melrose Industries plc,"0,0894%",Aerospace,GB,"3.326.738,64 €",460.630
MB,Mediobanca Banca di Credito Finanziario SPA,"0,0891%",Diversified Financial Services,IT,"3.314.814,36 €",228.293
WRT1V,Wartsila OYJ Abp,"0,0886%",Machinery: Engines,FI,"3.297.056,79 €",171.677
1COV,Covestro AG,"0,0864%",Specialty Chemicals,DE,"3.217.758,50 €",65.150
FBK,FinecoBank Banca Fineco SPA,"0,0862%",Banks,IT,"3.208.479,54 €",216.132
ANTO,Antofagasta plc,"0,0852%",Copper,GB,"3.172.312,62 €",122.782
BAMI,Banco BPM SPA,"0,085%",Banks,IT,"3.165.409,47 €",479.317
ITRK,Intertek Group plc,"0,0838%",Professional Business Support Services,GB,"3.119.268,20 €",55.688
BOL,Boliden AB,"0,0835%",General Mining,SE,"3.109.751,84 €",96.798
CNA,Centrica plc,"0,0834%",Multi-Utilities,GB,"3.106.125,70 €",1.871.037
BVI,Bureau Veritas SA,"0,0813%",Professional Business Support Services,FR,"3.025.953,60 €",109.636
BNR,Brenntag SE,"0,0813%",Chemicals: Diversified,DE,"3.025.776,82 €",45.859
PKN,ORLEN SA,"0,0812%",Oil Refining and Marketing,PL,"3.020.878,73 €",203.103
QIAd,QIAGEN NV,"0,08%",Medical Supplies,NL,"2.979.364,12 €",75.676
GALP,Galp Energia SGPS SA,"0,0789%",Integrated Oil and Gas,PT,"2.937.695,61 €",152.094
AUTO,Auto Trader Group plc,"0,0787%",Consumer Digital Services,GB,"2.928.223,79 €",305.901
URW,Unibail-Rodamco-Westfield,"0,0783%",Retail REITs,FR,"2.913.842,50 €",36.125
SCA B,Svenska Cellulosa AB SCA Class B,"0,0779%",Forestry,SE,"2.899.012,11 €",205.778
SAAB B,Saab AB Class B,"0,0777%",Aerospace,SE,"2.892.129,33 €",130.311
A5G,AIB Group plc,"0,0773%",Banks,IE,"2.876.929,92 €",551.136
UU.,United Utilities Group plc,"0,0769%",Water,GB,"2.863.372,64 €",240.302
CA,Carrefour SA,"0,0768%",Food Retailers and Wholesalers,FR,"2.858.233,24 €",190.676
NHY,Norsk Hydro ASA,"0,0767%",Aluminum,NO,"2.853.252,02 €",458.664
NESTE,Neste Oyj,"0,0758%",Oil Refining and Marketing,FI,"2.821.494,11 €",146.457
IMCD,Imcd Nv,"0,0757%",Specialty Chemicals,NL,"2.817.413,40 €",20.211
FGR,Eiffage SA,"0,0751%",Construction,FR,"2.797.158,65 €",27.599
MNDI,Mondi plc,"0,0747%",Containers and Packaging,GB,"2.780.089,50 €",151.855
FME,Fresenius Medical Care AG,"0,0741%",Health Care Services,DE,"2.756.861,52 €",70.364
SPX,Spirax-Sarco Engineering plc,"0,0733%",Machinery: Industrial,GB,"2.728.316,32 €",26.109
SKF B,Skf Ab,"0,0723%",Metal Fabricating,SE,"2.690.131,77 €",133.949
PSON,Pearson plc,"0,0722%",Publishing,GB,"2.686.450,11 €",241.626
STERV,Stora Enso Oyj,"0,0717%",Paper,FI,"2.670.467,40 €",199.140
RO,Roche Holding AG (Bearer),"0,0715%",Pharmaceuticals,CH,"2.661.258,98 €",10.310
ICG,Intermediate Capital Group plc,"0,0711%",Asset Managers and Custodians,GB,"2.648.147,65 €",97.747
TREL B,Trelleborg AB Class B,"0,0709%",Machinery: Industrial,SE,"2.639.601,17 €",73.686
CRDA,Croda International plc,"0,0708%",Chemicals: Diversified,GB,"2.634.798,63 €",49.484
ENX,Euronext NV,"0,0702%",Investment Services,NL,"2.613.915,85 €",28.931
AGS,Ageas SA/NV,"0,0702%",Life Insurance,BE,"2.612.669,00 €",57.170
SVT,Severn Trent plc,"0,0687%",Water,GB,"2.556.712,12 €",91.366
WISE,Wise plc,"0,0686%",Transaction Processing Services,GB,"2.552.260,88 €",267.182
HEN,Henkel AG & Co. KGaA,"0,0685%",Household Equipment and Products,DE,"2.548.768,00 €",34.630
MOWI,Mowi ASA,"0,0677%","Farming, Fishing, Ranching and Plantatio",NO,"2.518.307,79 €",152.875
BALN,Baloise Holding AG,"0,0675%",Full Line Insurance,CH,"2.513.981,95 €",15.793
AKRBP,Aker BP ASA,"0,067%",Oil: Crude Producers,NO,"2.493.021,97 €",105.696
SMIN,Smiths Group plc,"0,0669%",Diversified Industrials,GB,"2.490.135,63 €",123.300
MKS,Marks & Spencer Group plc,"0,0669%",Food Retailers and Wholesalers,GB,"2.489.225,48 €",702.798
ERF,Eurofins Scientific SE,"0,0667%",Medical Services,LU,"2.482.231,68 €",44.838
METSO,Metso Oyj,"0,0665%",Machinery: Construction and Handling,FI,"2.475.362,28 €",221.212
AC,Accor SA,"0,0665%",Hotels and Motels,FR,"2.473.977,80 €",62.020
RED,Redeia Corp. SA,"0,0663%",Conventional Electricity,ES,"2.469.124,28 €",149.282
ABN,ABN AMRO Bank NV,"0,0656%",Banks,NL,"2.442.041,65 €",156.041
WTB,Whitbread plc,"0,0654%",Hotels and Motels,GB,"2.435.878,05 €",70.334
TEN,Tenaris SA,"0,0651%",Oil Equipment and Services,LU,"2.422.822,98 €",160.505
NIBE B,Nibe Industrier AB Class B,"0,065%",Building: Climate Control,SE,"2.421.183,29 €",517.868
,Air Liquide SA,"0,0639%",Specialty Chemicals,FR,"2.378.101,88 €",13.178
G1A,GEA Group AG,"0,0627%",Machinery: Industrial,DE,"2.334.544,08 €",60.986
PZU,Powszechny Zaklad Ubezpieczen SA,"0,0627%",Full Line Insurance,PL,"2.333.805,10 €",199.494
CON,Continental AG,"0,0625%",Auto Parts,DE,"2.326.966,88 €",37.387
TEL,Telenor ASA,"0,0625%",Telecommunications Services,NO,"2.326.263,77 €",216.671
