Ticker,Nome delle partecipazioni,% del valore di mercato,Valore di mercato,Face amount,Cedola/Rendimento,Data di scadenza
,Banco Santander SA,"0,0846%","2.294.597,44 €",2.300.000,"3,88%",22 apr 2029
SANTAN,Banco Santander SA,"0,0845%","2.290.218,74 €",2.300.000,"3,75%",09 gen 2034
DNBNO,DNB Bank ASA,"0,0845%","2.290.191,69 €",2.245.000,"4,50%",19 lug 2028
BBVASM,Banco Bilbao Vizcaya Argentaria SA,"0,0842%","2.284.143,09 €",2.300.000,"3,38%",20 set 2027
,Linde plc,"0,0832%","2.255.739,61 €",2.300.000,"3,20%",14 feb 2031
SOCGEN,Societe Generale SA,"0,0821%","2.225.364,11 €",2.200.000,"4,13%",02 giu 2027
SRGIM,Snam SPA,"0,0821%","2.225.092,41 €",2.250.000,"3,38%",05 dic 2026
NOVNVX,Novartis Finance SA,"0,0817%","2.213.800,81 €",2.550.000,,23 set 2028
RABOBK,Cooperatieve Rabobank UA,"0,0815%","2.210.694,31 €",2.300.000,"1,25%",23 mar 2026
STLA,Stellantis NV,"0,0813%","2.204.391,60 €",2.400.000,"0,63%",30 mar 2027
ISPIM,Intesa Sanpaolo SPA,"0,0812%","2.201.033,46 €",2.050.000,"5,13%",29 ago 2031
ASML,ASML Holding NV,"0,081%","2.196.402,52 €",2.200.000,"3,50%",06 dic 2025
SUEZFP,Suez SACA,"0,08%","2.170.326,87 €",2.300.000,"1,88%",24 mag 2027
BKNG,Booking Holdings Inc.,"0,08%","2.168.139,36 €",2.150.000,"4,00%",15 nov 2026
BFCM,Banque Federative du Credit Mutuel SA,"0,0798%","2.162.900,17 €",2.200.000,"3,13%",14 set 2027
T,AT&T Inc.,"0,0797%","2.160.837,53 €",2.380.000,"3,15%",04 set 2036
MS,Morgan Stanley,"0,0796%","2.159.243,88 €",2.100.000,"4,66%",02 mar 2029
LHAGR,Deutsche Lufthansa AG,"0,0796%","2.157.896,47 €",2.200.000,"3,00%",29 mag 2026
ABIBB,Anheuser-Busch InBev SA/NV,"0,0794%","2.152.108,31 €",2.285.000,"1,15%",22 gen 2027
RABOBK,Cooperatieve Rabobank UA,"0,0787%","2.134.095,33 €",2.100.000,"4,23%",25 apr 2029
TTEFP,TotalEnergies SE,"0,0785%","2.127.522,56 €",2.350.000,"1,63%",25 gen 2049
ORAFP,Orange SA,"0,0783%","2.122.534,83 €",2.300.000,,04 set 2026
CAPFP,Capgemini SE,"0,0776%","2.103.225,43 €",2.300.000,"2,38%",15 apr 2032
BPLN,BP Capital Markets plc,"0,0775%","2.101.501,27 €",2.200.000,"3,63%",31 dic 2079
KERFP,Kering SA,"0,0771%","2.091.345,69 €",2.100.000,"3,88%",05 set 2035
HSBC,HSBC Holdings plc,"0,0771%","2.090.178,32 €",2.000.000,"4,79%",10 mar 2032
,UBS Group AG,"0,077%","2.087.633,16 €",2.049.000,"4,63%",17 mar 2028
SOCGEN,Societe Generale SA,"0,077%","2.087.377,75 €",2.200.000,"0,13%",17 nov 2026
WFC,Wells Fargo & Co.,"0,0767%","2.080.235,13 €",2.239.000,"1,00%",02 feb 2027
CB,Chubb INA Holdings LLC,"0,0767%","2.079.026,86 €",2.400.000,"0,88%",15 dic 2029
TTEFP,TotalEnergies Capital International SA,"0,0766%","2.077.724,79 €",2.200.000,"1,49%",08 apr 2027
WFC,Wells Fargo & Co.,"0,0766%","2.077.597,41 €",2.200.000,"1,38%",26 ott 2026
OPBANK,OP Corporate Bank plc,"0,0764%","2.070.123,96 €",2.400.000,"0,38%",08 dic 2028
BNP,BNP Paribas SA,"0,0763%","2.067.459,74 €",2.135.000,"1,50%",17 nov 2025
VLVY,Volvo Treasury AB,"0,076%","2.059.682,96 €",2.100.000,"2,63%",20 feb 2026
PEP,PepsiCo Inc.,"0,0759%","2.057.080,00 €",2.300.000,"0,50%",06 mag 2028
UBS,UBS Group AG,"0,0756%","2.049.027,42 €",2.200.000,"2,88%",02 apr 2032
IBM,International Business Machines Corp.,"0,0756%","2.048.764,68 €",2.300.000,"1,75%",31 gen 2031
DHR,DH Europe Finance II Sarl,"0,0754%","2.045.315,06 €",2.175.000,"0,20%",18 mar 2026
ABIBB,Anheuser-Busch InBev SA/NV,"0,0754%","2.044.490,41 €",2.150.000,"2,88%",02 apr 2032
STLA,Stellantis NV,"0,075%","2.032.849,06 €",2.000.000,"4,25%",16 giu 2031
,Siemens Financieringsmaatschappij NV,"0,075%","2.032.744,31 €",2.100.000,"3,38%",22 feb 2037
MS,Morgan Stanley,"0,0749%","2.030.438,14 €",2.450.000,"0,50%",07 feb 2031
VZ,Verizon Communications Inc.,"0,0749%","2.029.369,60 €",2.500.000,"1,30%",18 mag 2033
ENFP,Bouygues SA,"0,0748%","2.028.165,48 €",2.000.000,"3,88%",17 lug 2031
ALVGR,Allianz Finance II BV,"0,0748%","2.027.304,62 €",2.200.000,,22 nov 2026
AIRFP,Airbus SE,"0,0747%","2.023.961,78 €",2.250.000,"1,63%",09 giu 2030
C,Citigroup Inc.,"0,0746%","2.021.490,31 €",2.079.000,"1,25%",06 lug 2026
PM,Philip Morris International Inc.,"0,0744%","2.016.199,09 €",2.050.000,"2,88%",03 mar 2026
ABNANV,ABN AMRO Bank NV,"0,0743%","2.015.128,54 €",2.000.000,"3,88%",21 dic 2026
VW,Volkswagen International Finance NV,"0,0742%","2.010.642,90 €",2.100.000,"3,88%",31 dic 2049
AXASA,AXA SA,"0,0739%","2.002.866,71 €",2.100.000,"3,25%",28 mag 2049
ENELIM,Enel Finance International NV,"0,0738%","1.999.685,84 €",2.100.000,"0,25%",17 nov 2025
AXASA,AXA SA,"0,0736%","1.995.055,56 €",1.962.000,"3,75%",12 ott 2030
DB,Deutsche Bank AG,"0,0732%","1.985.058,54 €",2.100.000,"1,88%",23 feb 2028
AXASA,AXA SA,"0,0731%","1.980.571,54 €",2.011.000,"4,25%",10 mar 2043
GS,Goldman Sachs Group Inc.,"0,0729%","1.975.798,23 €",2.063.000,"1,63%",27 lug 2026
,Anheuser-Busch InBev SA/NV,"0,0727%","1.972.064,80 €",2.000.000,"3,75%",22 mar 2037
SAPGR,SAP SE,"0,0727%","1.971.534,60 €",2.100.000,"0,13%",18 mag 2026
,Toronto-Dominion Bank,"0,0725%","1.966.170,84 €",2.000.000,"3,56%",16 apr 2031
DB,Deutsche Bank AG,"0,0724%","1.961.725,70 €",1.900.000,"5,00%",05 set 2030
OPBANK,OP Corporate Bank plc,"0,072%","1.951.130,25 €",1.975.000,"2,88%",15 dic 2025
BDX,Becton Dickinson Euro Finance Sarl,"0,0719%","1.948.045,12 €",2.050.000,"1,21%",04 giu 2026
INTNED,ING Groep NV,"0,0717%","1.944.072,04 €",1.900.000,"4,88%",14 nov 2027
BBVASM,Banco Bilbao Vizcaya Argentaria SA,"0,0717%","1.943.353,10 €",2.000.000,"1,75%",26 nov 2025
T,AT&T Inc.,"0,0716%","1.942.405,41 €",1.950.000,"3,55%",18 nov 2025
BFCM,Banque Federative du Credit Mutuel SA,"0,0716%","1.942.367,82 €",1.900.000,"4,38%",02 mag 2030
BFCM,Banque Federative du Credit Mutuel SA,"0,0715%","1.938.513,93 €",1.900.000,"4,13%",13 mar 2029
NDAFH,Nordea Bank Abp,"0,0714%","1.935.898,42 €",2.100.000,"0,50%",14 mag 2027
CABKSM,CaixaBank SA,"0,0713%","1.934.293,98 €",2.000.000,"0,75%",10 lug 2026
DB,Deutsche Bank AG,"0,0712%","1.931.559,85 €",2.200.000,"1,75%",19 nov 2030
,Banco Santander SA,"0,0711%","1.928.659,79 €",1.900.000,"5,00%",22 apr 2034
UNANA,Unilever Finance Netherlands BV,"0,0709%","1.921.398,13 €",2.100.000,"1,75%",25 mar 2030
BNP,BNP Paribas SA,"0,0707%","1.918.139,14 €",2.100.000,"0,50%",19 feb 2028
RABOBK,Cooperatieve Rabobank UA,"0,0706%","1.915.363,70 €",1.900.000,"3,91%",03 nov 2026
SANTAN,Banco Santander SA,"0,0706%","1.914.666,99 €",1.900.000,"3,88%",16 gen 2028
ORAFP,Orange SA,"0,0705%","1.911.509,78 €",1.900.000,"3,63%",16 nov 2031
SOCGEN,Societe Generale SA,"0,0705%","1.910.569,80 €",1.900.000,"4,25%",06 dic 2030
IBM,International Business Machines Corp.,"0,0704%","1.908.143,39 €",2.025.000,"1,25%",29 gen 2027
CCEP,Coca-Cola Europacific Partners plc,"0,0703%","1.906.696,00 €",2.050.000,"1,50%",08 nov 2027
SOCGEN,Societe Generale SA,"0,0702%","1.904.499,12 €",2.000.000,"1,00%",24 nov 2030
SANFP,Sanofi SA,"0,0702%","1.903.319,57 €",2.100.000,"1,25%",06 apr 2029
RWE,RWE AG,"0,0698%","1.891.191,34 €",2.000.000,"2,75%",24 mag 2030
BFCM,Banque Federative du Credit Mutuel SA,"0,0695%","1.885.564,74 €",2.000.000,"0,75%",08 giu 2026
SEB,Skandinaviska Enskilda Banken AB,"0,0695%","1.883.259,48 €",2.150.000,"0,38%",21 giu 2028
DHR,DH Europe Finance II Sarl,"0,069%","1.871.445,72 €",2.100.000,"0,45%",18 mar 2028
ISPIM,Intesa Sanpaolo SPA,"0,0689%","1.869.369,58 €",2.000.000,"1,00%",19 nov 2026
AIB,AIB Group plc,"0,0684%","1.854.720,50 €",1.944.000,"2,25%",04 apr 2028
BNP,BNP Paribas SA,"0,0684%","1.854.291,46 €",2.000.000,"0,13%",04 set 2026
CABKSM,CaixaBank SA,"0,0684%","1.853.553,82 €",1.800.000,"4,25%",06 set 2030
F,Ford Motor Credit Co. LLC,"0,0683%","1.852.522,78 €",1.900.000,"2,33%",25 nov 2025
ENELIM,Enel Finance International NV,"0,068%","1.844.124,69 €",1.975.000,"0,25%",28 mag 2026
GSK,GSK Capital BV,"0,0678%","1.839.391,66 €",1.869.000,"3,00%",28 nov 2027
VW,Volkswagen International Finance NV,"0,0677%","1.836.465,32 €",1.700.000,"7,50%",06 set 2028
TACHEM,Takeda Pharmaceutical Co. Ltd.,"0,0677%","1.835.959,61 €",1.900.000,"2,25%",21 nov 2026
NDAFH,Nordea Bank Abp,"0,0677%","1.835.133,70 €",1.825.000,"4,38%",06 set 2026
RENAUL,RCI Banque SA,"0,0675%","1.829.059,64 €",1.900.000,"0,50%",14 lug 2025
BFCM,Banque Federative du Credit Mutuel SA,"0,0674%","1.827.824,86 €",2.100.000,"0,63%",03 nov 2028
APAAU,APA Infrastructure Ltd.,"0,0674%","1.826.629,29 €",1.925.000,"2,00%",22 mar 2027
JPM,JPMorgan Chase & Co.,"0,0674%","1.826.566,66 €",1.935.000,"1,64%",18 mag 2028
NWIDE,Nationwide Building Society,"0,0673%","1.824.652,29 €",1.795.000,"4,50%",01 nov 2026
ABIBB,Anheuser-Busch InBev SA/NV,"0,0672%","1.822.898,14 €",1.912.000,"2,00%",17 mar 2028
WFC,Wells Fargo & Co.,"0,0672%","1.821.118,51 €",2.010.000,"1,74%",04 mag 2030
BAC,Bank of America Corp.,"0,0671%","1.818.398,00 €",2.170.000,"0,69%",22 mar 2031
ENGIFP,Engie SA,"0,0668%","1.811.755,64 €",1.800.000,"4,00%",11 gen 2035
VITRRA,Viterra Finance BV,"0,0667%","1.809.556,01 €",1.900.000,"0,38%",24 set 2025
BACR,Barclays plc,"0,0667%","1.808.571,91 €",2.075.000,"0,58%",09 ago 2029
INTNED,ING Groep NV,"0,0666%","1.806.945,41 €",1.900.000,"1,00%",13 nov 2030
DT,Deutsche Telekom International Finance BV,"0,0666%","1.804.807,21 €",1.900.000,"1,38%",30 gen 2027
MS,Morgan Stanley,"0,0665%","1.804.101,03 €",1.660.000,"5,15%",25 gen 2034
BFCM,Banque Federative du Credit Mutuel SA,"0,0665%","1.802.317,00 €",1.800.000,"3,75%",01 feb 2033
,Cooperatieve Rabobank UA,"0,0664%","1.800.936,49 €",1.800.000,"3,82%",26 lug 2034
VW,Volkswagen International Finance NV,"0,0664%","1.800.130,28 €",1.800.000,"3,88%",29 mar 2026
BFCM,Banque Federative du Credit Mutuel SA,"0,0662%","1.794.309,17 €",1.700.000,"5,13%",13 gen 2033
ABNANV,ABN AMRO Bank NV,"0,0661%","1.791.250,27 €",1.700.000,"4,50%",21 nov 2034
,Deutsche Bank AG,"0,066%","1.789.472,92 €",1.800.000,"4,13%",04 apr 2030
INTNED,ING Groep NV,"0,0659%","1.787.256,06 €",2.000.000,"0,38%",29 set 2028
BNP,BNP Paribas SA,"0,0659%","1.786.145,18 €",1.800.000,"3,63%",01 set 2029
LHAGR,Deutsche Lufthansa AG,"0,0658%","1.784.139,59 €",1.800.000,"3,75%",11 feb 2028
BNP,BNP Paribas SA,"0,0656%","1.778.559,36 €",1.700.000,"4,75%",13 nov 2032
VW,Volkswagen International Finance NV,"0,0654%","1.772.343,07 €",1.800.000,"3,50%",31 dic 2079
TTEFP,TotalEnergies Capital Canada Ltd.,"0,0653%","1.769.909,57 €",1.900.000,"2,13%",18 set 2029
,Honeywell International Inc.,"0,0653%","1.769.669,35 €",1.800.000,"3,38%",01 mar 2030
ALDFP,Ayvens SA,"0,065%","1.763.359,92 €",1.700.000,"4,88%",06 ott 2028
BMW,BMW Finance NV,"0,0649%","1.759.874,18 €",1.900.000,"0,38%",14 gen 2027
AZN,AstraZeneca plc,"0,0649%","1.759.865,05 €",1.750.000,"3,63%",03 mar 2027
ISPIM,Intesa Sanpaolo SPA,"0,0648%","1.757.134,71 €",1.710.000,"5,00%",08 mar 2028
RENAUL,RCI Banque SA,"0,0647%","1.755.501,40 €",1.700.000,"4,88%",02 ott 2029
ABNANV,ABN AMRO Bank NV,"0,0646%","1.752.675,06 €",1.900.000,"0,60%",15 gen 2027
HSBC,HSBC Holdings plc,"0,0646%","1.751.477,87 €",1.650.000,"6,36%",16 nov 2032
ALVGR,Allianz SE,"0,0645%","1.748.072,93 €",1.600.000,"5,82%",25 lug 2053
SYDAU,Sydney Airport Finance Co. Pty Ltd.,"0,0644%","1.745.083,97 €",1.700.000,"4,38%",03 mag 2033
SABSM,Banco de Sabadell SA,"0,0643%","1.743.179,06 €",1.800.000,"0,88%",22 lug 2025
,Siemens Financieringsmaatschappij NV,"0,0641%","1.738.025,08 €",1.800.000,"3,63%",22 feb 2044
RENAUL,RCI Banque SA,"0,0641%","1.737.581,32 €",1.700.000,"4,75%",06 lug 2027
BPLN,BP Capital Markets plc,"0,0641%","1.737.081,79 €",2.050.000,"1,23%",08 mag 2031
SWEDA,Swedbank AB,"0,064%","1.735.027,96 €",1.700.000,"4,13%",13 nov 2028
,Cellnex Finance Co. SA,"0,064%","1.734.219,05 €",1.900.000,"1,00%",15 set 2027
FIS,Fidelity National Information Services Inc.,"0,0639%","1.733.336,04 €",1.850.000,"1,50%",21 mag 2027
BNP,BNP Paribas SA,"0,0638%","1.731.104,08 €",1.700.000,"4,38%",13 gen 2029
ULFP,Unibail-Rodamco-Westfield SE,"0,0638%","1.729.996,80 €",1.900.000,"0,63%",04 mag 2027
VZ,Verizon Communications Inc.,"0,0636%","1.725.193,96 €",1.975.000,"1,25%",08 apr 2030
DBOERS,Deutsche Boerse AG,"0,0636%","1.724.600,45 €",1.700.000,"3,75%",28 set 2029
UCGIM,UniCredit SPA,"0,0636%","1.724.591,27 €",1.700.000,"4,45%",16 feb 2029
,Cellnex Telecom SA,"0,0635%","1.720.770,11 €",1.900.000,"1,88%",26 giu 2029
ACAFP,Credit Agricole SA,"0,0634%","1.719.770,92 €",1.700.000,"3,88%",20 apr 2031
NTT,NTT Finance Corp.,"0,0634%","1.719.446,87 €",1.815.000,"0,08%",13 dic 2025
BNP,BNP Paribas SA,"0,0632%","1.714.169,86 €",1.700.000,"3,88%",10 gen 2031
MS,Morgan Stanley,"0,0632%","1.713.318,07 €",1.773.000,"1,34%",23 ott 2026
RELLN,RELX Finance BV,"0,0631%","1.711.032,95 €",1.700.000,"3,75%",12 giu 2031
EOANGR,E.ON International Finance BV,"0,063%","1.708.466,01 €",1.890.000,"1,50%",31 lug 2029
PRXNA,Prosus NV,"0,0629%","1.704.033,64 €",2.000.000,"1,29%",13 lug 2029
BFCM,Banque Federative du Credit Mutuel SA,"0,0628%","1.703.971,63 €",1.700.000,"3,88%",26 gen 2028
,Credit Agricole SA,"0,0628%","1.701.596,62 €",1.700.000,"3,75%",22 gen 2034
,BMW US Capital LLC,"0,0627%","1.701.251,84 €",1.755.000,"3,38%",02 feb 2034
INTNED,ING Groep NV,"0,0627%","1.699.600,43 €",1.600.000,"4,75%",23 mag 2034
ENIIM,Eni SPA,"0,0624%","1.692.409,73 €",1.775.000,"1,25%",18 mag 2026
HSBC,HSBC Holdings plc,"0,0623%","1.689.796,62 €",1.600.000,"4,86%",23 mag 2033
SLB,Schlumberger Finance BV,"0,0621%","1.683.653,94 €",1.775.000,"1,38%",28 ott 2026
,Banco Bilbao Vizcaya Argentaria SA,"0,062%","1.680.819,51 €",1.700.000,"3,50%",26 mar 2031
,Eni SPA,"0,0619%","1.679.499,80 €",1.700.000,"3,88%",15 gen 2034
,Anheuser-Busch InBev SA/NV,"0,0619%","1.679.263,10 €",1.719.000,"3,95%",22 mar 2044
,Nordea Bank Abp,"0,0619%","1.678.684,64 €",1.700.000,"3,63%",15 mar 2034
MDLZ,Mondelez International Inc.,"0,0618%","1.675.427,52 €",1.900.000,"0,25%",17 mar 2028
IBESM,Iberdrola Finanzas SA,"0,0618%","1.675.028,89 €",1.700.000,"3,13%",22 nov 2028
VW,Volkswagen International Finance NV,"0,0617%","1.673.655,61 €",1.800.000,"3,88%",31 dic 2079
WFC,Wells Fargo & Co.,"0,0617%","1.673.460,80 €",1.730.000,"2,00%",27 apr 2026
SANTAN,Banco Santander SA,"0,0615%","1.668.681,04 €",1.600.000,"5,75%",23 ago 2033
C,Citigroup Inc.,"0,0615%","1.667.141,78 €",1.800.000,"0,50%",08 ott 2027
UBS,UBS Group AG,"0,0614%","1.665.862,79 €",2.200.000,"0,63%",18 gen 2033
HSBC,HSBC Holdings plc,"0,0613%","1.661.326,61 €",1.692.000,"3,02%",15 giu 2027
BACR,Barclays plc,"0,0613%","1.660.843,00 €",1.687.000,"2,88%",31 gen 2027
IBM,International Business Machines Corp.,"0,0613%","1.660.736,03 €",1.926.000,"0,88%",09 feb 2030
ABBV,AbbVie Inc.,"0,0612%","1.658.220,25 €",1.770.000,"2,13%",01 giu 2029
BNP,BNP Paribas SA,"0,0611%","1.655.718,88 €",1.800.000,"1,13%",15 gen 2032
OMC,Omnicom Finance Holdings plc,"0,061%","1.653.011,75 €",1.800.000,"0,80%",08 lug 2027
VZ,Verizon Communications Inc.,"0,0609%","1.650.761,24 €",2.060.000,"0,75%",22 mar 2032
BPLN,BP Capital Markets BV,"0,0607%","1.646.535,20 €",1.600.000,"4,32%",12 mag 2035
,Nykredit Realkredit AS,"0,0607%","1.644.716,42 €",1.600.000,"4,63%",19 gen 2029
SOCGEN,Societe Generale SA,"0,0606%","1.644.164,90 €",1.600.000,"4,75%",28 set 2029
PUBFP,MMS USA Holdings Inc.,"0,0605%","1.639.333,48 €",1.800.000,"1,25%",13 giu 2028
SANTAN,Banco Santander SA,"0,0604%","1.638.828,70 €",1.700.000,"1,38%",05 gen 2026
BFCM,Banque Federative du Credit Mutuel SA,"0,0603%","1.633.581,56 €",1.900.000,"1,25%",03 giu 2030
ENGIFP,Engie SA,"0,0602%","1.631.870,48 €",1.800.000,"0,38%",21 giu 2027
ERSTBK,Erste Group Bank AG,"0,0602%","1.631.475,98 €",1.600.000,"4,25%",30 mag 2030
BAC,Bank of America Corp.,"0,0602%","1.630.915,30 €",1.760.000,"2,82%",27 apr 2033
BPCEGP,BPCE SA,"0,0601%","1.628.937,62 €",1.600.000,"4,00%",29 nov 2032
SOCGEN,Societe Generale SA,"0,0601%","1.628.548,93 €",1.600.000,"4,13%",21 nov 2028
BPCEGP,BPCE SA,"0,0601%","1.628.242,67 €",1.600.000,"4,38%",13 lug 2028
INTNED,ING Groep NV,"0,06%","1.627.605,48 €",1.700.000,"1,25%",16 feb 2027
MA,Mastercard Inc.,"0,06%","1.627.519,18 €",1.810.000,"1,00%",22 feb 2029
UCGIM,UniCredit SPA,"0,06%","1.626.387,57 €",1.577.000,"4,80%",17 gen 2029
ACAFP,Credit Agricole SA,"0,0598%","1.622.236,27 €",1.600.000,"4,25%",11 lug 2029
NWIDE,Nationwide Building Society,"0,0598%","1.621.201,16 €",1.700.000,"2,00%",28 apr 2027
DB,Deutsche Bank AG,"0,0597%","1.617.515,10 €",1.600.000,"5,63%",19 mag 2031
ELIATB,Elia Transmission Belgium SA,"0,0596%","1.616.737,08 €",1.900.000,"0,88%",28 apr 2030
MBGGR,Mercedes-Benz International Finance BV,"0,0596%","1.616.424,92 €",1.700.000,"1,50%",09 feb 2027
CS,Credit Suisse AG/London,"0,0596%","1.615.714,60 €",1.560.000,"5,50%",20 ago 2026
SGOFP,Cie de Saint-Gobain SA,"0,0596%","1.615.620,03 €",1.600.000,"3,88%",29 nov 2030
NAB,National Australia Bank Ltd.,"0,0595%","1.612.911,81 €",1.700.000,"2,13%",24 mag 2028
SHBASS,Svenska Handelsbanken AB,"0,0595%","1.612.832,54 €",1.600.000,"3,88%",10 mag 2027
ENGIFP,Engie SA,"0,0593%","1.607.958,93 €",1.600.000,"3,88%",06 gen 2031
VW,Volkswagen Leasing GmbH,"0,0592%","1.605.618,91 €",1.700.000,"0,25%",12 gen 2026
RIFP,Pernod Ricard SA,"0,0592%","1.604.840,67 €",1.600.000,"3,75%",15 set 2027
RYAID,Ryanair DAC,"0,0592%","1.603.737,02 €",1.700.000,"0,88%",25 mag 2026
JPM,JPMorgan Chase & Co.,"0,0591%","1.601.992,60 €",1.750.000,"0,39%",24 feb 2028
BNP,BNP Paribas SA,"0,059%","1.600.229,52 €",1.600.000,"4,04%",10 gen 2032
ANNGR,Vonovia SE,"0,059%","1.599.862,55 €",1.700.000,,01 dic 2025
MBGGR,Mercedes-Benz International Finance BV,"0,059%","1.599.235,76 €",1.600.000,"3,50%",30 mag 2026
SWEDA,Swedbank AB,"0,059%","1.598.287,86 €",1.600.000,"3,75%",14 nov 2025
STANLN,Standard Chartered plc,"0,0586%","1.588.930,90 €",1.525.000,"4,87%",10 mag 2031
CMARK,Credit Mutuel Arkea SA,"0,0584%","1.584.721,73 €",1.600.000,"3,38%",19 set 2027
BFCM,Banque Federative du Credit Mutuel SA,"0,0584%","1.583.543,68 €",1.700.000,"0,01%",11 mag 2026
BPCEGP,BPCE SA,"0,0584%","1.583.524,86 €",1.500.000,"4,75%",14 giu 2034
CCAMA,Caisse Nationale de Reassurance Mutuelle Agricole Groupama,"0,0584%","1.582.823,86 €",1.800.000,"0,75%",07 lug 2028
,Banque Federative du Credit Mutuel SA,"0,0583%","1.581.866,19 €",1.600.000,"4,38%",11 gen 2034
NOVNVX,Novartis Finance SA,"0,0583%","1.580.515,72 €",1.775.000,"1,38%",14 ago 2030
TOYOTA,Toyota Motor Credit Corp.,"0,0583%","1.580.027,56 €",1.550.000,"4,05%",13 set 2029
SANTAN,Banco Santander SA,"0,0582%","1.577.723,27 €",1.700.000,"1,13%",23 giu 2027
,Linde plc,"0,058%","1.571.315,20 €",1.600.000,"3,00%",14 feb 2028
BFCM,Banque Federative du Credit Mutuel SA,"0,0579%","1.571.150,43 €",1.500.000,"4,75%",10 nov 2031
T,AT&T Inc.,"0,0579%","1.571.045,92 €",1.700.000,"1,60%",19 mag 2028
TOYOTA,Toyota Motor Finance Netherlands BV,"0,0579%","1.569.509,84 €",1.578.000,"3,38%",13 gen 2026
UBS,UBS Group AG,"0,0579%","1.569.437,29 €",1.666.000,"1,00%",24 giu 2027
BASGR,BASF SE,"0,0578%","1.567.968,62 €",1.800.000,"1,50%",17 mar 2031
RELLN,RELX Finance BV,"0,0578%","1.566.151,30 €",1.660.000,"1,50%",13 mag 2027
UNANA,Unilever Finance Netherlands BV,"0,0577%","1.565.558,51 €",1.700.000,"1,13%",29 apr 2028
ISPIM,Intesa Sanpaolo SPA,"0,0575%","1.559.183,42 €",1.650.000,"0,63%",24 feb 2026
DB,Deutsche Bank AG,"0,0574%","1.556.916,38 €",1.600.000,"4,00%",24 giu 2032
