Ticker,Nome delle partecipazioni,% del valore di mercato,Settore,Regione,Valore di mercato,Azioni
CAT,Caterpillar Inc.,"0,2573%",Machinery: Construction and Handling,US,"13.975.798,20 USD",41.285
HSBA,HSBC Holdings plc,"0,2521%",Banks,GB,"13.692.015,02 USD",1.544.230
DHR,Danaher Corp.,"0,2518%",Medical Equipment,US,"13.679.479,20 USD",53.269
NEE,NextEra Energy Inc.,"0,2448%",Conventional Electricity,US,"13.296.283,24 USD",166.162
AMGN,Amgen Inc.,"0,2437%",Pharmaceuticals,US,"13.235.352,90 USD",43.274
PFE,Pfizer Inc.,"0,2418%",Pharmaceuticals,US,"13.134.190,16 USD",458.276
CMCSA,Comcast Corp. Class A,"0,2352%",Cable Television Services,US,"12.778.016,33 USD",319.211
PM,Philip Morris International Inc.,"0,2349%",Tobacco,US,"12.757.659,20 USD",125.840
INTU,Intuit Inc.,"0,2346%",Software,US,"12.743.935,52 USD",22.108
RTX,RTX Corp.,"0,231%",Aerospace,US,"12.545.310,65 USD",116.365
RY,Royal Bank of Canada,"0,2277%",Banks,CA,"12.370.755,37 USD",113.191
IBM,International Business Machines Corp.,"0,2253%",Computer Services,US,"12.237.446,40 USD",73.344
TTE,TotalEnergies SE,"0,2234%",Integrated Oil and Gas,FR,"12.133.969,29 USD",166.799
BHP,BHP Group Ltd.,"0,2219%",General Mining,AU,"12.050.896,96 USD",407.106
GS,Goldman Sachs Group Inc.,"0,2147%",Investment Services,US,"11.661.803,40 USD",25.545
SIE,Siemens AG,"0,2129%",Diversified Industrials,DE,"11.566.021,06 USD",60.445
UNP,Union Pacific Corp.,"0,2111%",Railroads,US,"11.466.152,18 USD",49.249
ISRG,Intuitive Surgical Inc.,"0,2092%",Medical Equipment,US,"11.361.900,60 USD",28.255
COP,ConocoPhillips,"0,2078%",Oil: Crude Producers,US,"11.289.125,12 USD",96.919
AXP,American Express Co.,"0,2074%",Transaction Processing Services,US,"11.266.080,00 USD",46.942
MU,Micron Technology Inc.,"0,2036%",Semiconductors,US,"11.059.125,00 USD",88.473
SPGI,S&P Global Inc.,"0,2016%",Financial Data Providers,US,"10.950.241,14 USD",25.614
ULVR,Unilever plc,"0,2012%",Personal Products,GB,"10.931.457,48 USD",200.650
HON,Honeywell International Inc.,"0,2005%",Diversified Industrials,US,"10.889.751,21 USD",53.859
NOW,ServiceNow Inc.,"0,1992%",Software,US,"10.822.921,75 USD",16.475
CBA,Commonwealth Bank of Australia,"0,1992%",Banks,AU,"10.822.901,43 USD",136.137
ETN,Eaton Corp. plc,"0,1975%",Diversified Industrials,IE,"10.729.752,60 USD",32.236
SU,Schneider Electric SE,"0,1966%",Electrical Components,FR,"10.679.524,72 USD",43.251
BKNG,Booking Holdings Inc.,"0,1965%",Travel and Tourism,US,"10.675.741,45 USD",2.827
T,AT&T Inc.,"0,1946%",Telecommunications Services,US,"10.568.401,68 USD",580.044
INTC,Intel Corp.,"0,194%",Semiconductors,US,"10.540.180,15 USD",341.659
LOW,Lowe's Cos. Inc.,"0,1907%",Home Improvement Retailers,US,"10.357.035,87 USD",46.803
ELV,Elevance Health Inc.,"0,1901%",Health Care Management Services,US,"10.328.046,40 USD",19.180
UBER,Uber Technologies Inc.,"0,1894%",Consumer Services: Misc.,US,"10.290.024,72 USD",159.387
PGR,Progressive Corp.,"0,1838%",Property and Casualty Insurance,US,"9.982.478,60 USD",47.270
LRCX,Lam Research Corp.,"0,1827%",Production Technology Equipment,US,"9.925.823,80 USD",10.645
SYK,Stryker Corp.,"0,18%",Medical Equipment,US,"9.777.003,76 USD",28.664
C,Citigroup Inc.,"0,1776%",Banks,US,"9.645.027,21 USD",154.791
VRTX,Vertex Pharmaceuticals Inc.,"0,175%",Pharmaceuticals,US,"9.507.954,54 USD",20.881
TJX,TJX Cos. Inc.,"0,175%",Apparel Retailers,US,"9.507.263,40 USD",92.214
8306,Mitsubishi UFJ Financial Group Inc.,"0,1747%",Banks,JP,"9.487.248,08 USD",899.200
ADI,Analog Devices Inc.,"0,1735%",Semiconductors,US,"9.424.153,10 USD",40.190
BLK,BlackRock Inc.,"0,171%",Asset Managers and Custodians,US,"9.289.836,99 USD",12.033
MS,Morgan Stanley,"0,1697%",Investment Services,US,"9.216.136,64 USD",94.196
ALV,Allianz SE,"0,169%",Full Line Insurance,DE,"9.182.466,97 USD",31.526
NKE,NIKE Inc. Class B,"0,1668%",Footwear,US,"9.062.067,00 USD",95.340
BSX,Boston Scientific Corp.,"0,1638%",Medical Equipment,US,"8.900.105,61 USD",117.773
CB,Chubb Ltd.,"0,1631%",Property and Casualty Insurance,CH,"8.861.230,40 USD",32.720
SCHW,Charles Schwab Corp.,"0,162%",Investment Services,US,"8.798.436,48 USD",120.066
MDT,Medtronic plc,"0,1605%",Medical Equipment,IE,"8.716.598,51 USD",107.123
SAN,Sanofi SA,"0,1581%",Pharmaceuticals,FR,"8.589.153,36 USD",88.145
BP.,BP plc,"0,1543%",Integrated Oil and Gas,GB,"8.379.916,07 USD",1.348.310
MMC,Marsh & McLennan Cos. Inc.,"0,1529%",Insurance Brokers,US,"8.303.200,00 USD",40.000
KLAC,KLA Corp.,"0,1526%",Production Technology Equipment,US,"8.290.269,95 USD",10.915
PLD,Prologis Inc.,"0,1526%",Industrial REITs,US,"8.289.180,78 USD",75.022
LMT,Lockheed Martin Corp.,"0,1521%",Defense,US,"8.262.462,78 USD",17.567
6758,Sony Group Corp.,"0,1514%",Consumer Electronics,JP,"8.225.491,11 USD",100.240
ADP,Automatic Data Processing Inc.,"0,1506%",Professional Business Support Services,US,"8.181.797,52 USD",33.406
UPS,United Parcel Service Inc. Class B,"0,1502%",Delivery Services,US,"8.161.303,92 USD",58.744
BA,Boeing Co.,"0,15%",Aerospace,US,"8.150.167,68 USD",45.888
REGN,Regeneron Pharmaceuticals Inc.,"0,1498%",Biotechnology,US,"8.136.308,16 USD",8.301
TD,Toronto-Dominion Bank,"0,1484%",Banks,CA,"8.062.336,21 USD",144.228
CI,Cigna Group,"0,1476%",Health Care Management Services,US,"8.018.618,16 USD",23.268
AIR,Airbus SE,"0,1474%",Aerospace,NL,"8.007.321,26 USD",47.312
DE,Deere & Co.,"0,1431%",Machinery: Agricultural,US,"7.774.021,44 USD",20.744
UBSG,UBS Group AG,"0,1416%",Asset Managers and Custodians,CH,"7.689.315,68 USD",243.486
8035,Tokyo Electron Ltd.,"0,1403%",Production Technology Equipment,JP,"7.618.619,75 USD",35.600
MDLZ,Mondelez International Inc. Class A,"0,139%",Food Products,US,"7.552.554,24 USD",110.208
PANW,Palo Alto Networks Inc.,"0,1367%",Software,US,"7.425.243,98 USD",25.178
AMT,American Tower Corp.,"0,1362%",Infrastructure REITs,US,"7.400.146,44 USD",37.806
GSK,GSK plc,"0,1349%",Pharmaceuticals,GB,"7.328.245,28 USD",325.829
6501,Hitachi Ltd.,"0,1349%",Diversified Industrials,JP,"7.325.326,93 USD",71.300
CSL,CSL Ltd.,"0,1341%",Pharmaceuticals,AU,"7.285.057,62 USD",39.108
SBUX,Starbucks Corp.,"0,1334%",Restaurants and Bars,US,"7.245.470,40 USD",90.320
1299,AIA Group Ltd.,"0,1331%",Life Insurance,HK,"7.230.803,94 USD",935.800
FI,Fiserv Inc.,"0,1331%",Transaction Processing Services,US,"7.230.412,80 USD",48.280
CMG,Chipotle Mexican Grill Inc. Class A,"0,1285%",Restaurants and Bars,US,"6.981.959,12 USD",2.231
BX,Blackstone Group LP Class A,"0,1282%",Asset Managers and Custodians,US,"6.964.056,50 USD",57.793
SO,Southern Co.,"0,1281%",Conventional Electricity,US,"6.957.754,80 USD",86.820
TMUS,T-Mobile US Inc.,"0,1279%",Telecommunications Services,US,"6.949.761,12 USD",39.722
SNPS,Synopsys Inc.,"0,1276%",Software,US,"6.930.927,20 USD",12.359
WM,Waste Management Inc.,"0,1272%",Waste and Disposal Services,US,"6.907.940,13 USD",32.781
CFR,Cie Financiere Richemont SA,"0,1269%",Luxury Items,CH,"6.892.333,04 USD",43.165
6861,Keyence Corp.,"0,1259%",Electronic Equipment: Gauges and Meters,JP,"6.837.557,67 USD",15.200
SAN,Banco Santander SA,"0,1253%",Banks,ES,"6.805.172,46 USD",1.296.635
BMY,Bristol-Myers Squibb Co.,"0,125%",Pharmaceuticals,US,"6.788.437,81 USD",165.209
MO,Altria Group Inc.,"0,1237%",Tobacco,US,"6.719.847,50 USD",145.294
8316,Sumitomo Mitsui Financial Group Inc.,"0,1231%",Banks,JP,"6.685.602,47 USD",102.100
CNQ,Canadian Natural Resources Ltd.,"0,1229%",Oil: Crude Producers,CA,"6.677.250,85 USD",86.935
REL,RELX plc,"0,1225%",Publishing,GB,"6.654.267,19 USD",152.998
ABBN,ABB Ltd.,"0,1218%",Electrical Components,CH,"6.617.623,23 USD",120.852
RMS,Hermes International SCA,"0,1204%",Clothing and Accessories,FR,"6.541.113,39 USD",2.769
GILD,Gilead Sciences Inc.,"0,1201%",Pharmaceuticals,US,"6.521.605,44 USD",101.472
MELI,MercadoLibre Inc.,"0,1197%",Consumer Services: Misc.,US,"6.503.711,02 USD",3.769
DUK,Duke Energy Corp.,"0,119%",Multi-Utilities,US,"6.465.150,11 USD",62.423
DTE,Deutsche Telekom AG,"0,118%",Telecommunications Services,DE,"6.408.701,41 USD",264.844
8058,Mitsubishi Corp.,"0,1178%",Diversified Industrials,JP,"6.398.124,03 USD",304.400
SAF,Safran SA,"0,1177%",Aerospace,FR,"6.393.600,76 USD",27.508
ZTS,Zoetis Inc.,"0,1175%",Pharmaceuticals,US,"6.379.864,56 USD",37.626
ENB,Enbridge Inc.,"0,1154%",Pipelines,CA,"6.269.408,34 USD",171.506
APH,Amphenol Corp. Class A,"0,1154%",Electronic Components,US,"6.266.263,43 USD",47.339
CDNS,Cadence Design Systems Inc.,"0,1154%",Software,US,"6.265.894,35 USD",21.885
IBE,Iberdrola SA,"0,1152%",Conventional Electricity,ES,"6.255.367,08 USD",476.209
CL,Colgate-Palmolive Co.,"0,1139%",Personal Products,US,"6.187.789,44 USD",66.564
CVS,CVS Health Corp.,"0,1139%",Drug Retailers,US,"6.184.453,60 USD",103.766
RIO,Rio Tinto plc,"0,1137%",General Mining,GB,"6.178.415,37 USD",88.617
MCK,McKesson Corp.,"0,1132%",Drug Retailers,US,"6.149.293,64 USD",10.796
ICE,Intercontinental Exchange Inc.,"0,1128%",Investment Services,US,"6.129.406,40 USD",45.776
BNP,BNP Paribas SA,"0,1126%",Banks,FR,"6.116.704,81 USD",83.226
FCX,Freeport-McMoRan Inc.,"0,1125%",Copper,US,"6.112.145,22 USD",115.914
ANET,Arista Networks Inc.,"0,112%",Telecommunications Equipment,US,"6.081.882,45 USD",20.433
ZURN,Zurich Insurance Group AG,"0,1116%",Full Line Insurance,CH,"6.064.137,12 USD",11.549
000660,SK Hynix Inc.,"0,1115%",Semiconductors,KR,"6.054.864,61 USD",44.309
GLEN,Glencore plc,"0,111%",General Mining,JE,"6.028.275,02 USD",984.866
DGE,Diageo plc,"0,1108%",Distillers and Vintners,GB,"6.016.250,13 USD",179.635
8031,Mitsui & Co. Ltd.,"0,1107%",Industrial Suppliers,JP,"6.015.094,34 USD",118.600
TT,Trane Technologies plc,"0,1106%",Building: Climate Control,IE,"6.009.218,46 USD",18.351
CP,Canadian Pacific Kansas City Ltd.,"0,1105%",Railroads,CA,"6.004.097,57 USD",75.440
EOG,EOG Resources Inc.,"0,1092%",Oil: Crude Producers,US,"5.929.700,95 USD",47.609
GD,General Dynamics Corp.,"0,1087%",Defense,US,"5.904.569,69 USD",19.697
CNR,Canadian National Railway Co.,"0,1086%",Railroads,CA,"5.901.660,13 USD",46.368
CME,CME Group Inc.,"0,1084%",Investment Services,US,"5.889.464,70 USD",29.015
ITW,Illinois Tool Works Inc.,"0,108%",Diversified Industrials,US,"5.866.782,00 USD",24.168
SHW,Sherwin-Williams Co.,"0,1077%",Paints and Coatings,US,"5.851.188,00 USD",19.260
TGT,Target Corp.,"0,1076%",Diversified Retailers,US,"5.847.411,20 USD",37.445
EQIX,Equinix Inc.,"0,1066%",Other Specialty REITs,US,"5.787.966,28 USD",7.586
6098,Recruit Holdings Co. Ltd.,"0,1064%",Business Training and Employment Agencie,JP,"5.781.057,93 USD",114.301
4063,Shin-Etsu Chemical Co. Ltd.,"0,1063%",Chemicals: Diversified,JP,"5.775.080,34 USD",155.000
TDG,TransDigm Group Inc.,"0,1063%",Aerospace,US,"5.774.545,77 USD",4.299
NXPI,NXP Semiconductors NV,"0,1057%",Semiconductors,NL,"5.739.677,40 USD",21.094
CEG,Constellation Energy Corp.,"0,1051%",Conventional Electricity,US,"5.708.026,50 USD",26.274
NAB,National Australia Bank Ltd.,"0,1047%",Banks,AU,"5.689.830,33 USD",252.300
KKR,KKR & Co. Inc.,"0,1022%",Asset Managers and Custodians,US,"5.553.051,48 USD",53.997
SHOP,Shopify Inc. Class A,"0,1021%",Consumer Digital Services,CA,"5.545.637,57 USD",93.721
MUV2,Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen,"0,1016%",Reinsurance,DE,"5.519.756,60 USD",11.104
PYPL,PayPal Holdings Inc.,"0,1016%",Transaction Processing Services,US,"5.517.609,05 USD",87.595
PH,Parker-Hannifin Corp.,"0,1008%",Diversified Industrials,US,"5.475.187,52 USD",10.301
HCA,HCA Healthcare Inc.,"0,1008%",Health Care Facilities,US,"5.473.372,50 USD",16.110
EL,EssilorLuxottica SA,"0,1007%",Medical Supplies,FR,"5.469.320,06 USD",24.540
BDX,Becton Dickinson & Co.,"0,1006%",Medical Supplies,US,"5.461.965,62 USD",23.546
CRWD,Crowdstrike Holdings Inc. Class A,"0,1004%",Software,US,"5.451.898,27 USD",17.381
4568,Daiichi Sankyo Co. Ltd.,"0,0993%",Pharmaceuticals,JP,"5.391.824,11 USD",151.900
CSX,CSX Corp.,"0,0991%",Railroads,US,"5.380.323,75 USD",159.417
SLB,Schlumberger Ltd.,"0,098%",Oil Equipment and Services,CW,"5.323.790,68 USD",116.012
UCG,UniCredit SPA,"0,0979%",Banks,IT,"5.320.155,66 USD",134.689
MPC,Marathon Petroleum Corp.,"0,097%",Oil Refining and Marketing,US,"5.266.510,20 USD",29.820
8766,Tokio Marine Holdings Inc.,"0,0964%",Property and Casualty Insurance,JP,"5.233.978,17 USD",151.500
BMO,Bank of Montreal,"0,0962%",Banks,CA,"5.227.769,06 USD",58.628
EMR,Emerson Electric Co.,"0,0955%",Electronic Equipment: Other,US,"5.185.381,12 USD",46.232
BN,Brookfield Corp. Class A,"0,095%",Asset Managers and Custodians,CA,"5.162.925,36 USD",118.582
NOC,Northrop Grumman Corp.,"0,095%",Defense,US,"5.161.316,50 USD",11.450
USB,US Bancorp,"0,0949%",Banks,US,"5.156.702,95 USD",127.169
CS,Axa SA,"0,0943%",Full Line Insurance,FR,"5.124.644,83 USD",142.831
PNC,PNC Financial Services Group Inc.,"0,0942%",Banks,US,"5.119.424,53 USD",32.527
BBVA,Banco Bilbao Vizcaya Argentaria SA,"0,0942%",Banks,ES,"5.115.430,62 USD",474.052
ISP,Intesa Sanpaolo SPA (Registered),"0,094%",Banks,IT,"5.108.398,47 USD",1.304.936
PSX,Phillips 66,"0,0939%",Oil Refining and Marketing,US,"5.100.612,12 USD",35.892
MCO,Moody's Corp.,"0,0937%",Financial Data Providers,US,"5.090.602,77 USD",12.823
8001,ITOCHU Corp.,"0,0931%",Diversified Industrials,JP,"5.059.613,73 USD",107.300
MBG,Mercedes-Benz Group AG,"0,0928%",Automobiles,DE,"5.039.813,71 USD",69.916
ABI,Anheuser-Busch InBev SA/NV,"0,0925%",Brewers,BE,"5.025.574,59 USD",80.342
BATS,British American Tobacco plc,"0,0923%",Tobacco,GB,"5.011.396,05 USD",162.984
WBC,Westpac Banking Corp.,"0,0902%",Banks,AU,"4.899.262,76 USD",283.555
ABNB,Airbnb Inc. Class A,"0,0897%",Travel and Tourism,US,"4.873.995,90 USD",33.630
MSI,Motorola Solutions Inc.,"0,0896%",Telecommunications Equipment,US,"4.868.994,13 USD",13.343
APO,Apollo Global Management LLC,"0,0894%",Asset Managers and Custodians,US,"4.856.533,44 USD",41.809
DG,Vinci SA,"0,0891%",Construction,FR,"4.842.026,68 USD",38.971
INGA,ING Groep NV,"0,0887%",Banks,NL,"4.820.182,92 USD",271.334
APD,Air Products & Chemicals Inc.,"0,0886%",Specialty Chemicals,US,"4.809.934,50 USD",18.035
FDX,FedEx Corp.,"0,0879%",Delivery Services,US,"4.774.448,00 USD",18.800
MRVL,Marvell Technology Inc.,"0,0877%",Semiconductors,US,"4.764.886,07 USD",69.247
CTAS,Cintas Corp.,"0,087%",Industrial Suppliers,US,"4.727.484,81 USD",6.973
WELL,Welltower Inc.,"0,0862%",Health Care REITs,US,"4.680.596,83 USD",45.149
ECL,Ecolab Inc.,"0,0858%",Chemicals: Diversified,US,"4.660.021,80 USD",20.069
ORLY,O'Reilly Automotive Inc.,"0,0853%",Specialty Retailers,US,"4.633.280,60 USD",4.810
7974,Nintendo Co. Ltd.,"0,0853%",Electronic Entertainment,JP,"4.632.858,19 USD",85.100
OR,L'Oreal SA,"0,0852%",Cosmetics,FR,"4.625.787,70 USD",9.425
BNS,Bank of Nova Scotia,"0,0851%",Banks,CA,"4.624.812,91 USD",97.711
ROP,Roper Technologies Inc.,"0,0846%",Software,US,"4.597.718,80 USD",8.630
AON,Aon plc Class A,"0,0839%",Insurance Brokers,IE,"4.555.527,00 USD",16.175
ENEL,Enel SPA,"0,0833%",Conventional Electricity,IT,"4.524.831,89 USD",626.209
ANZ,ANZ Group Holdings Ltd.,"0,0833%",Banks,AU,"4.522.340,43 USD",240.708
LSEG,London Stock Exchange Group plc,"0,0831%",Financial Data Providers,GB,"4.514.260,84 USD",38.699
9984,SoftBank Group Corp.,"0,0829%",Telecommunications Services,JP,"4.505.320,56 USD",78.300
MAR,Marriott International Inc./MD Class A,"0,0829%",Hotels and Motels,US,"4.504.578,62 USD",19.486
MMM,3M Co.,"0,0829%",Diversified Industrials,US,"4.502.694,96 USD",44.964
CSU,Constellation Software Inc./Canada,"0,0828%",Software,CA,"4.499.835,87 USD",1.618
AIG,American International Group Inc.,"0,0828%",Full Line Insurance,US,"4.498.415,04 USD",57.072
PRX,Prosus NV,"0,0821%",Consumer Digital Services,NL,"4.458.061,00 USD",123.024
PCAR,PACCAR Inc.,"0,0816%",Commercial Vehicles and Parts,US,"4.433.192,50 USD",41.239
BA.,BAE Systems plc,"0,0814%",Defense,GB,"4.420.616,09 USD",249.429
AJG,Arthur J Gallagher & Co.,"0,0812%",Insurance Brokers,US,"4.409.208,65 USD",17.405
7267,Honda Motor Co. Ltd.,"0,0807%",Automobiles,JP,"4.381.383,12 USD",389.100
CRH,CRH plc,"0,0805%",Cement,IE,"4.372.756,48 USD",56.137
VLO,Valero Energy Corp.,"0,0798%",Oil Refining and Marketing,US,"4.336.435,44 USD",27.596
SU,Suncor Energy Inc.,"0,0795%",Integrated Oil and Gas,CA,"4.318.335,33 USD",105.873
AFL,Aflac Inc.,"0,0783%",Life Insurance,US,"4.253.277,49 USD",47.327
IFX,Infineon Technologies AG,"0,078%",Semiconductors,DE,"4.237.625,27 USD",106.001
EW,Edwards Lifesciences Corp.,"0,078%",Medical Supplies,US,"4.236.061,28 USD",48.752
MCHP,Microchip Technology Inc.,"0,0779%",Semiconductors,US,"4.228.824,39 USD",43.493
D05,DBS Group Holdings Ltd.,"0,0778%",Banks,SG,"4.226.035,95 USD",158.720
COF,Capital One Financial Corp.,"0,0778%",Transaction Processing Services,US,"4.225.378,63 USD",30.701
CARR,Carrier Global Corp.,"0,0777%",Building: Climate Control,US,"4.223.114,08 USD",66.832
8411,Mizuho Financial Group Inc.,"0,0769%",Banks,JP,"4.179.048,78 USD",204.330
GM,General Motors Co.,"0,0766%",Automobiles,US,"4.162.024,90 USD",92.510
NSC,Norfolk Southern Corp.,"0,0762%",Railroads,US,"4.139.692,00 USD",18.415
WMB,Williams Cos. Inc.,"0,0762%",Pipelines,US,"4.137.094,15 USD",99.665
AI,Air Liquide SA,"0,0752%",Specialty Chemicals,FR,"4.086.431,92 USD",20.859
HLT,Hilton Worldwide Holdings Inc.,"0,0748%",Hotels and Motels,US,"4.060.946,40 USD",20.244
TFC,Truist Financial Corp.,"0,0748%",Banks,US,"4.060.578,75 USD",107.565
ITX,Industria de Diseno Textil SA,"0,0741%",Apparel Retailers,ES,"4.025.737,35 USD",85.131
SPG,Simon Property Group Inc.,"0,0736%",Retail REITs,US,"3.996.248,41 USD",26.411
SRE,Sempra,"0,0734%",Multi-Utilities,US,"3.985.609,23 USD",51.741
JCI,Johnson Controls International plc,"0,073%",Electronic Equipment: Control and Filter,IE,"3.965.333,13 USD",55.143
WES,Wesfarmers Ltd.,"0,0728%",Diversified Retailers,AU,"3.955.121,05 USD",91.649
TRV,Travelers Cos. Inc.,"0,0724%",Property and Casualty Insurance,US,"3.933.073,80 USD",18.234
ATCO A,Atlas Copco AB Class A,"0,0723%",Machinery: Construction and Handling,SE,"3.928.575,29 USD",205.765
RR.,Rolls-Royce Holdings plc,"0,0722%",Aerospace,GB,"3.924.510,42 USD",679.841
MRNA,Moderna Inc.,"0,0717%",Biotechnology,US,"3.894.608,55 USD",27.321
RACE,Ferrari NV,"0,0715%",Automobiles,NL,"3.884.007,54 USD",9.480
F,Ford Motor Co.,"0,0713%",Automobiles,US,"3.872.611,67 USD",319.259
OKE,ONEOK Inc.,"0,0709%",Pipelines,US,"3.850.740,00 USD",47.540
AZO,AutoZone Inc.,"0,0708%",Specialty Retailers,US,"3.847.446,66 USD",1.389
CPG,Compass Group plc,"0,0705%",Vending and Catering Service,GB,"3.831.005,74 USD",137.270
GEV,GE Vernova LLC,"0,0703%",Diversified Industrials,US,"3.816.502,30 USD",21.697
STLAM,Stellantis NV,"0,0702%",Automobiles,NL,"3.815.513,34 USD",173.993
MFC,Manulife Financial Corp.,"0,0701%",Life Insurance,CA,"3.810.417,93 USD",146.728
AEP,American Electric Power Co. Inc.,"0,0701%",Conventional Electricity,US,"3.805.120,50 USD",42.162
