Ticker,Nome delle partecipazioni,% del valore di mercato,Valore di mercato,Face amount,Cedola/Rendimento,Data di scadenza
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,3088%","8.715.740,46 €",8.928.000,"2,30%",15 feb 2033
SPGB,Spain Government Bond,"0,3021%","8.527.030,47 €",9.000.000,"1,45%",31 ott 2027
BGB,Kingdom of Belgium Government Bond,"0,3018%","8.518.560,91 €",8.584.000,"3,00%",22 giu 2033
FRTR,French Republic Government Bond OAT,"0,3014%","8.507.050,76 €",7.891.000,"4,00%",25 ott 2038
BKO,Bundesschatzanweisungen,"0,2995%","8.453.010,39 €",8.500.000,"2,80%",12 giu 2025
FRTR,French Republic Government Bond OAT,"0,2974%","8.392.958,19 €",9.662.997,"2,50%",25 mag 2043
SPGB,Spain Government Bond,"0,2965%","8.367.225,10 €",7.325.000,"4,90%",30 lug 2040
BGB,Kingdom of Belgium Government Bond,"0,2934%","8.279.451,16 €",8.510.000,"0,80%",22 giu 2025
BTPS,Italy Buoni Poliennali Del Tesoro,"0,2926%","8.259.439,73 €",7.900.000,"4,40%",01 mag 2033
BTPS,Italy Buoni Poliennali Del Tesoro,"0,2925%","8.256.572,22 €",9.319.000,"1,35%",01 apr 2030
BTPS,Italy Buoni Poliennali Del Tesoro,"0,2885%","8.142.441,85 €",10.677.000,"1,45%",01 mar 2036
BTPS,Italy Buoni Poliennali Del Tesoro,"0,2875%","8.115.007,68 €",7.810.000,"4,35%",01 nov 2033
,Bundesobligation,"0,2863%","8.079.849,97 €",8.300.000,"2,10%",12 apr 2029
NETHER,Netherlands Government Bond,"0,2812%","7.936.786,95 €",8.573.000,,15 gen 2027
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,2811%","7.934.752,50 €",8.860.000,"0,25%",15 feb 2029
NETHER,Netherlands Government Bond,"0,281%","7.929.456,17 €",8.180.000,"2,50%",15 lug 2033
BTPS,Italy Buoni Poliennali Del Tesoro,"0,2804%","7.913.323,41 €",8.354.000,"3,35%",01 mar 2035
,Spain Government Bond,"0,2801%","7.906.582,41 €",7.987.000,"3,25%",30 apr 2034
BTPS,Italy Buoni Poliennali Del Tesoro,"0,2793%","7.882.131,66 €",8.481.000,,01 ago 2026
PGB,Portugal Obrigacoes do Tesouro OT,"0,2789%","7.872.533,78 €",8.220.000,"1,95%",15 giu 2029
BTPS,Italy Buoni Poliennali Del Tesoro,"0,2788%","7.868.737,97 €",8.398.000,"0,85%",15 gen 2027
,Italy Buoni Poliennali Del Tesoro,"0,2776%","7.835.418,61 €",9.507.000,"0,95%",01 dic 2031
RAGB,Republic of Austria Government Bond,"0,2739%","7.731.316,18 €",8.380.000,"0,75%",20 feb 2028
FRTR,French Republic Government Bond OAT,"0,2738%","7.727.363,05 €",11.886.000,"0,50%",25 mag 2040
,Spain Government Bond,"0,2722%","7.682.639,58 €",7.826.000,"2,50%",31 mag 2027
RAGB,Republic of Austria Government Bond,"0,2704%","7.630.811,94 €",8.681.000,,20 ott 2028
NETHER,Netherlands Government Bond,"0,2688%","7.587.905,20 €",8.000.000,"0,50%",15 lug 2026
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,2682%","7.568.820,33 €",8.866.000,,15 ago 2030
BTPS,Italy Buoni Poliennali Del Tesoro,"0,2675%","7.550.652,09 €",7.739.000,"2,65%",01 dic 2027
NETHER,Netherlands Government Bond,"0,2674%","7.546.266,10 €",11.311.755,,15 gen 2038
SPGB,Spain Government Bond,"0,2656%","7.497.193,48 €",8.382.000,,31 gen 2028
,Italy Buoni Poliennali Del Tesoro,"0,2642%","7.457.569,50 €",7.500.000,"3,85%",01 lug 2034
BTPS,Italy Buoni Poliennali Del Tesoro,"0,2621%","7.396.485,44 €",7.350.000,"3,70%",15 giu 2030
SPGB,Spain Government Bond,"0,2616%","7.383.117,45 €",7.929.000,"0,80%",30 lug 2027
BGB,Kingdom of Belgium Government Bond,"0,2614%","7.376.271,76 €",8.150.000,,22 ott 2027
NETHER,Netherlands Government Bond,"0,2607%","7.357.766,47 €",8.852.000,"0,50%",15 lug 2032
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,2606%","7.354.906,01 €",9.227.000,"1,00%",15 mag 2038
NETHER,Netherlands Government Bond,"0,2593%","7.318.667,52 €",8.925.000,,15 lug 2031
SPGB,Spain Government Bond,"0,2572%","7.258.679,48 €",8.781.000,"0,50%",31 ott 2031
BTPS,Italy Buoni Poliennali Del Tesoro,"0,2572%","7.258.400,02 €",6.864.000,"4,75%",01 set 2044
SPGB,Spain Government Bond,"0,257%","7.253.241,12 €",7.639.000,"2,55%",31 ott 2032
SPGB,Spain Government Bond,"0,2548%","7.191.232,93 €",7.763.000,"2,35%",30 lug 2033
,Italy Buoni Poliennali Del Tesoro,"0,2539%","7.166.174,81 €",7.187.000,"4,05%",30 ott 2037
BTPS,Italy Buoni Poliennali Del Tesoro,"0,2532%","7.144.956,34 €",6.499.000,"6,50%",01 nov 2027
BGB,Kingdom of Belgium Government Bond,"0,2509%","7.080.628,88 €",8.754.293,"0,35%",22 giu 2032
BGB,Kingdom of Belgium Government Bond,"0,2504%","7.068.569,10 €",7.550.500,"0,80%",22 giu 2027
BGB,Kingdom of Belgium Government Bond,"0,2476%","6.988.530,33 €",6.014.000,"5,00%",28 mar 2035
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,2443%","6.895.053,65 €",8.393.083,,15 feb 2032
NETHER,Netherlands Government Bond,"0,2441%","6.890.146,85 €",6.239.246,"4,00%",15 gen 2037
RAGB,Republic of Austria Government Bond,"0,2441%","6.889.363,96 €",6.988.000,"2,90%",20 feb 2033
BTPS,Italy Buoni Poliennali Del Tesoro,"0,2424%","6.840.897,37 €",6.978.000,"1,50%",01 giu 2025
BGB,Kingdom of Belgium Government Bond,"0,2421%","6.832.096,18 €",7.133.000,"1,00%",22 giu 2026
SPGB,Spain Government Bond,"0,2415%","6.816.920,98 €",8.312.000,"2,70%",31 ott 2048
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,2389%","6.741.252,95 €",13.738.929,,15 ago 2050
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,2382%","6.723.381,65 €",7.975.000,,15 feb 2031
BTPS,Italy Buoni Poliennali Del Tesoro,"0,2375%","6.703.653,13 €",7.551.000,"1,65%",01 dic 2030
SPGB,Spain Government Bond,"0,2364%","6.670.757,19 €",7.128.000,"1,40%",30 lug 2028
PGB,Portugal Obrigacoes do Tesouro OT,"0,2359%","6.659.277,93 €",6.450.000,"4,13%",14 apr 2027
,Italy Buoni Poliennali Del Tesoro,"0,2358%","6.653.769,87 €",6.700.000,"3,35%",01 lug 2029
BTPS,Italy Buoni Poliennali Del Tesoro,"0,2353%","6.642.062,66 €",8.196.000,"0,60%",01 ago 2031
BTPS,Italy Buoni Poliennali Del Tesoro,"0,2345%","6.617.352,15 €",7.729.000,"0,95%",01 ago 2030
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,2334%","6.588.215,47 €",7.281.000,"0,25%",15 ago 2028
BTPS,Italy Buoni Poliennali Del Tesoro,"0,231%","6.518.583,92 €",5.686.000,"6,00%",01 mag 2031
BGB,Kingdom of Belgium Government Bond,"0,2302%","6.497.781,93 €",7.178.000,"0,90%",22 giu 2029
SPGB,SPGB 4.7 07/30/41,"0,2298%","6.486.892,84 €",5.777.000,"4,70%",30 lug 2041
FRTR,French Republic Government Bond OAT,"0,2248%","6.344.818,51 €",6.528.446,"0,50%",25 mag 2025
FRTR,French Republic Government Bond OAT,"0,2237%","6.312.697,09 €",12.485.029,"0,75%",25 mag 2053
BTPS,Italy Buoni Poliennali Del Tesoro,"0,2192%","6.187.568,91 €",6.412.000,"1,60%",01 giu 2026
PGB,Portugal Obrigacoes do Tesouro OT,"0,2191%","6.183.960,91 €",6.364.000,"2,13%",17 ott 2028
GGB,Hellenic Republic Government Bond,"0,219%","6.181.648,37 €",6.025.000,"3,88%",15 giu 2028
BTPS,Italy Buoni Poliennali Del Tesoro,"0,218%","6.154.122,36 €",6.869.000,"2,45%",01 set 2033
RAGB,Republic of Austria Government Bond,"0,2171%","6.126.269,64 €",5.595.000,"4,15%",15 mar 2037
,Spain Government Bond,"0,2167%","6.116.111,99 €",6.100.000,"4,00%",31 ott 2054
NETHER,Netherlands Government Bond,"0,2158%","6.091.486,99 €",6.313.000,"2,75%",15 gen 2047
BTPS,Italy Buoni Poliennali Del Tesoro,"0,2155%","6.083.204,20 €",6.387.000,"2,00%",01 feb 2028
BTPS,Italy Buoni Poliennali Del Tesoro,"0,2154%","6.080.063,23 €",5.783.000,"4,75%",01 set 2028
SPGB,Spain Government Bond,"0,2154%","6.078.932,44 €",9.213.000,"1,90%",31 ott 2052
,Kingdom of Belgium Government Bond,"0,2153%","6.075.495,17 €",6.256.340,"2,85%",22 ott 2034
FRTR,French Republic Government Bond OAT,"0,2136%","6.029.349,86 €",11.651.000,"0,75%",25 mag 2052
BTPS,Italy Buoni Poliennali Del Tesoro,"0,2135%","6.024.439,21 €",6.273.000,"2,05%",01 ago 2027
FRTR,French Republic Government Bond OAT,"0,2122%","5.989.960,65 €",5.473.721,"4,00%",25 apr 2060
BKO,Bundesschatzanweisungen,"0,2122%","5.988.798,42 €",6.000.000,"3,10%",12 dic 2025
,French Republic Government Bond OAT,"0,2115%","5.968.657,59 €",6.475.000,"3,00%",25 giu 2049
,Netherlands Government Bond,"0,2095%","5.913.300,82 €",6.140.000,"2,50%",15 lug 2034
BGB,Kingdom of Belgium Government Bond,"0,209%","5.898.300,60 €",6.996.000,"0,10%",22 giu 2030
FRTR,French Republic Government Bond OAT,"0,2069%","5.839.397,15 €",7.151.834,"1,75%",25 giu 2039
,Bundesrepublik Deutschland Bundesanleihe,"0,2063%","5.822.229,84 €",6.050.000,"2,20%",15 feb 2034
BTPS,Italy Buoni Poliennali Del Tesoro,"0,2055%","5.799.687,18 €",6.000.000,"2,20%",01 giu 2027
BTPS,Italy Buoni Poliennali Del Tesoro,"0,2044%","5.768.615,15 €",5.927.000,"2,10%",15 lug 2026
,French Republic Government Bond OAT,"0,2041%","5.760.384,09 €",6.129.296,"3,25%",25 mag 2055
SPGB,Spain Government Bond,"0,2034%","5.742.068,29 €",6.651.000,"2,90%",31 ott 2046
BTPS,Italy Buoni Poliennali Del Tesoro,"0,2017%","5.693.161,48 €",6.522.000,"3,45%",01 mar 2048
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,2012%","5.678.338,99 €",7.817.164,,15 mag 2036
BGB,Kingdom of Belgium Government Bond,"0,1992%","5.623.033,86 €",6.118.000,"0,80%",22 giu 2028
,Ireland Government Bond,"0,1988%","5.609.782,27 €",5.824.000,"2,60%",18 ott 2034
,Bundesrepublik Deutschland Bundesanleihe,"0,1986%","5.604.421,36 €",5.930.000,"2,50%",15 ago 2054
BTPS,Italy Buoni Poliennali Del Tesoro,"0,1985%","5.601.623,36 €",5.730.000,"3,00%",01 ago 2029
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,1974%","5.570.263,01 €",5.982.000,"0,50%",15 ago 2027
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,1973%","5.569.033,03 €",6.260.500,,15 nov 2028
SPGB,Spain Government Bond,"0,1962%","5.538.210,49 €",5.911.000,"1,95%",30 lug 2030
BGB,Kingdom of Belgium Government Bond,"0,196%","5.531.125,28 €",6.327.000,"1,00%",22 giu 2031
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,1952%","5.509.630,64 €",4.981.000,"6,50%",04 lug 2027
RFGB,Finland Government Bond,"0,1948%","5.499.045,27 €",5.532.000,"2,88%",15 apr 2029
BTPS,Italy Buoni Poliennali Del Tesoro,"0,1946%","5.493.616,88 €",5.498.000,"3,40%",01 apr 2028
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,1946%","5.491.982,74 €",5.950.000,"0,50%",15 feb 2028
RAGB,Republic of Austria Government Bond,"0,1946%","5.491.766,65 €",6.160.000,"0,50%",20 feb 2029
BGB,Kingdom of Belgium Government Bond,"0,1942%","5.481.682,23 €",5.030.000,"5,50%",28 mar 2028
IRISH,Ireland Government Bond,"0,1934%","5.459.850,54 €",6.452.000,"0,20%",18 ott 2030
BTPS,Italy Buoni Poliennali Del Tesoro,"0,1934%","5.459.633,40 €",6.138.000,"0,50%",15 lug 2028
BTPS,Italy Buoni Poliennali Del Tesoro,"0,1923%","5.427.500,64 €",5.579.000,"1,20%",15 ago 2025
BTPS,Italy Buoni Poliennali Del Tesoro,"0,192%","5.420.206,63 €",6.366.000,"3,25%",01 set 2046
RAGB,Republic of Austria Government Bond,"0,1901%","5.365.348,01 €",6.554.000,,20 feb 2031
BTPS,Italy Buoni Poliennali Del Tesoro,"0,1895%","5.347.107,52 €",5.350.000,"3,50%",01 mar 2030
NETHER,Netherlands Government Bond,"0,189%","5.334.057,23 €",5.697.000,"0,75%",15 lug 2027
NETHER,Netherlands Government Bond,"0,1887%","5.324.915,81 €",5.793.000,"0,75%",15 lug 2028
BTPS,Italy Buoni Poliennali Del Tesoro,"0,1854%","5.233.652,17 €",6.252.000,"0,90%",01 apr 2031
SPGB,Spain Government Bond,"0,1853%","5.230.600,06 €",7.548.000,"1,20%",31 ott 2040
SPGB,Spain Government Bond,"0,1844%","5.203.581,81 €",4.374.000,"5,15%",31 ott 2044
BGB,Kingdom of Belgium Government Bond,"0,1831%","5.167.675,08 €",4.685.000,"4,25%",28 mar 2041
BTPS,Italy Buoni Poliennali Del Tesoro,"0,1763%","4.975.964,62 €",5.483.000,"3,25%",01 mar 2038
BGB,Kingdom of Belgium Government Bond,"0,1756%","4.957.088,43 €",5.250.000,"3,30%",22 giu 2054
BTPS,Italy Buoni Poliennali Del Tesoro,"0,1752%","4.944.118,03 €",4.900.000,"3,85%",15 set 2026
BTPS,Italy Buoni Poliennali Del Tesoro,"0,1721%","4.858.197,08 €",5.983.000,"0,95%",01 giu 2032
DBR,Bundesrepublik Deutschland Bundesanleihe,"0,171%","4.826.824,58 €",5.302.000,,15 nov 2027
NETHER,Netherlands Government Bond,"0,17%","4.799.193,35 €",4.888.000,"2,50%",15 gen 2030
FRTR,French Republic Government Bond OAT,"0,1681%","4.744.068,22 €",7.409.100,"1,75%",25 mag 2066
BTPS,Italy Buoni Poliennali Del Tesoro,"0,1679%","4.738.280,97 €",4.822.000,"1,85%",01 lug 2025
OBL,Bundesobligation,"0,1633%","4.607.944,20 €",4.700.000,"2,20%",13 apr 2028
RAGB,Republic of Austria Government Bond,"0,1631%","4.603.146,50 €",4.944.000,"0,50%",20 apr 2027
BTPS,Italy Buoni Poliennali Del Tesoro,"0,1613%","4.553.775,39 €",4.186.000,"7,25%",01 nov 2026
NETHER,Netherlands Government Bond,"0,1596%","4.504.285,45 €",4.737.000,,15 gen 2026
SPGB,Spain Government Bond,"0,1596%","4.504.281,47 €",4.214.000,"4,20%",31 gen 2037
,Slovakia Government Bond,"0,1592%","4.492.153,08 €",4.500.000,"3,75%",06 mar 2034
BTPS,Italy Buoni Poliennali Del Tesoro,"0,1587%","4.479.705,50 €",4.454.000,"3,80%",15 apr 2026
NETHER,NETHER 3 3/4 01/15/42,"0,1582%","4.464.589,24 €",4.061.327,"3,75%",15 gen 2042
BTPS,Italy Buoni Poliennali Del Tesoro,"0,1568%","4.425.903,44 €",4.710.000,,01 apr 2026
RAGB,RAGB 4.85 03/15/26,"0,1566%","4.420.543,88 €",4.300.000,"4,85%",15 mar 2026
BTPS,Italy Buoni Poliennali Del Tesoro,"0,1555%","4.388.835,91 €",4.936.000,"0,25%",15 mar 2028
